Address,Award,Comments,Cuisine,FacilitiesAndServices,Hour,Location,Name,PhoneNumber,Price,Url,WebsiteUrl,_id,coord
"Rue d'Yverdon 1, Crissier, 1023, Switzerland",2,6084318,Classic French,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",17,"Crissier, Switzerland","Restaurant de l'Hôtel de Ville",+41216340505,€€€€,https://guide.michelin.com/en/vaud/crissier/restaurant/restaurant-de-l-hotel-de-ville,https://www.restaurantcrissier.com/,63da3c3e3edd49a903f1627e,"[6.5766897,46.553994]"
"Schlossgass 77, Fürstenau, 7414, Switzerland",2,344786,"Creative, Country cooking","American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Mastercard credit card,Particularly interesting wine list,Visa credit card",5,"Fürstenau, Switzerland",Schloss Schauenstein,+41816321080,€€€€,https://guide.michelin.com/en/graubunden/frstenau/restaurant/schloss-schauenstein,https://schauenstein.ch/,63da3c3e3edd49a903f1627f,"[9.4462648,46.7211969]"
"Blumenrain 8, Basel, 4001, Switzerland",2,760952,Classic French,"American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access",18,"Basel, Switzerland",Cheval Blanc by Peter Knogl,+41612605007,€€€€,https://guide.michelin.com/en/basel-stadt/basel/restaurant/cheval-blanc-by-peter-knogl,https://www.chevalblancbasel.com/en,63da3c3e3edd49a903f16280,"[7.5875706,47.5604261]"
"45 Itaewon-ro 55ga-gil, Yongsan-gu, Seoul, South Korea",0,3904383,Innovative,"Particularly interesting wine list,Valet parking",16,"Seoul, South Korea",Mosu,+8227935995,₩₩₩₩,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/mosu,http://mosuseoul.com,63da3c3e3edd49a903f16281,"[126.99935,37.53644]"
"M Floor Horim Art Center, 317 Dosan-daero, Gangnam-gu, Seoul, South Korea",2,5949868,Korean,"Car park,Valet parking,Wheelchair access",2,"Seoul, South Korea",Gaon,+8225459845,₩₩₩₩,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/gaon,http://gaonkr.com,63da3c3e3edd49a903f16282,"[127.03595,37.52265]"
"431 W. 37th St., New York, 10018, USA",3,3421017,Contemporary,"Air conditioning,Counter dining,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access",11,"New York, USA","Chef's Table at Brooklyn Fare",+17182430050,$$$$,https://guide.michelin.com/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,https://www.brooklynfare.com/,63da3c3e3edd49a903f16283,"[-73.9964997,40.7560823]"
"10 Columbus Circle, New York, 10019, USA",2,3999594,"Contemporary, French","Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",2,"New York, USA",Per Se,+12128239335,$$$$,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,https://www.thomaskeller.com/perseny,63da3c3e3edd49a903f16284,"[-73.9825882,40.7680545]"
"155 W. 51st St., New York, 10019, USA",0,2533137,Seafood,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",3,"New York, USA",Le Bernardin,+12125541515,$$$$,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-bernardin,https://www.le-bernardin.com/,63da3c3e3edd49a903f16285,"[-73.98223,40.76177]"
"10 Columbus Circle, New York, 10019, USA",0,5508647,"Japanese, Sushi","Air conditioning,Counter dining,Credit card / Debit card accepted,Notable sake list,Wheelchair access",19,"New York, USA",Masa,+12128239800,$$$$,https://guide.michelin.com/en/new-york-state/new-york/restaurant/masa,https://www.masanyc.com/,63da3c3e3edd49a903f16286,"[-73.98234,40.76819]"
"11 Madison Ave., New York, 10010, USA",0,2245261,"Contemporary, Innovative","Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access",3,"New York, USA",Eleven Madison Park,+12128890905,$$$$,https://guide.michelin.com/en/new-york-state/new-york/restaurant/eleven-madison-park,https://www.elevenmadisonpark.com/,63da3c3e3edd49a903f16287,"[-73.9872414,40.7415543]"
