_id,Name,Address,Location,Price,Cuisine,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Hour,coord,Comments
ObjectId(63da3cd93edd49a903f1788f),Noto Toto Teuchisoba Tabiki,"1-3-6 Horyuji Nishi, Ikarugacho, Ikoma-gun, Nara, 636-0114, Japan","Nara, Japan",¥,Soba,+81745740438,https://guide.michelin.com/en/nara-region/nara/restaurant/noto-toto-teuchisoba-tabiki,,1,"Air conditioning,Car park,Cash only",10,"[135.730208,34.611572]",4.338088e+06
ObjectId(63da3cd93edd49a903f17890),Yakitori Fukuro,"2F, 2-6-47 Tomio Motomachi, Nara, Nara, 631-0078, Japan","Nara, Japan",¥¥,Yakitori,+81742479889,https://guide.michelin.com/en/nara-region/nara/restaurant/yakitori-fukuro,,0,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",15,"[135.7353958,34.6928392]",2.927819e+06
ObjectId(63da3cd93edd49a903f17891),A VOTRE SANTE,"6-26 Shinasahigaoka, Ikoma, Nara, 630-0253, Japan","Nara, Japan",¥¥,French,+81743758123,https://guide.michelin.com/en/nara-region/nara/restaurant/a-votre-sante,,4,"Air conditioning,American Express credit card,Car park,Cash only - lunch,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",9,"[135.706132,34.68595]",1.735891e+06
ObjectId(63da3cd93edd49a903f17892),YAMAOKA PIZZA,"455 Onitoricho, Ikoma, Nara, 630-0237, Japan","Nara, Japan",¥,Pizza,+81743770511,https://guide.michelin.com/en/nara-region/nara/restaurant/yamaoka-pizza,,1,"Car park,Cash only,Great view",5,"[135.685183,34.67117]",7.758997e+06
ObjectId(63da3cd93edd49a903f17893),Kushizukushi,"31 Yanagimachi, Nara, Nara, 630-8353, Japan","Nara, Japan",¥,Kushiage,+81742230010,https://guide.michelin.com/en/nara-region/nara/restaurant/kushizukushi,,1,"Air conditioning,Cash only,Counter dining",16,"[135.824628,34.67858]",2.400224e+06
ObjectId(63da3cd93edd49a903f17894),Shunsai Chuka Bar Mitsukan,"4-4-5 Naizencho, Kashihara, Nara, 634-0804, Japan","Nara, Japan",¥,Chinese,+81744257288,https://guide.michelin.com/en/nara-region/nara/restaurant/shunsai-chuka-bar-mitsukan,,1,"Air conditioning,Cash only,Counter dining",4,"[135.791277,34.513977]",7.323957e+06
ObjectId(63da3cd93edd49a903f17895),toi Inshokuten,"30-3 Hanashibacho, Nara, Nara, 630-8266, Japan","Nara, Japan",¥,Indian,+81742877014,https://guide.michelin.com/en/nara-region/nara/restaurant/toi-inshokuten,,4,"Air conditioning,Cash only",4,"[135.8290402,34.6857108]",8.913405e+06
ObjectId(63da3cd93edd49a903f17896),Pizzeria Luna Nuova,"2-1-35 Omiyacho, Nara, Nara, 630-8115, Japan","Nara, Japan",¥,Pizza,+81742336679,https://guide.michelin.com/en/nara-region/nara/restaurant/pizzeria-luna-nuova,,0,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",15,"[135.817477,34.682612]",8.686129e+06
ObjectId(63da3cd93edd49a903f17897),Masala an TAKUMI,"2281 Nakamachi, Nara, Nara, 631-0052, Japan","Nara, Japan",¥¥,Indian,+81742471601,https://guide.michelin.com/en/nara-region/nara/restaurant/masala-an-takumi,,0,"Air conditioning,Car park,Cash only,Shoes must be removed",2,"[135.742349,34.68009]",5.38521e+06
ObjectId(63da3cd93edd49a903f17898),Menya Ittoku,"372-2 Kawaharajocho, Tenri, Nara, 632-0016, Japan","Nara, Japan",¥,Ramen,+81743622888,https://guide.michelin.com/en/nara-region/nara/restaurant/menya-ittoku,,0,"Car park,Cash only,Counter dining",4,"[135.836008,34.598622]",4.367924e+06
ObjectId(63da3cd93edd49a903f17899),French Izakaya Étonner,"2-5-25 Tomio Motomachi, Nara, Nara, 631-0078, Japan","Nara, Japan",¥,French,+81742410189,https://guide.michelin.com/en/nara-region/nara/restaurant/french-izakaya-etonner,https://etonner-nara.info/,2,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",10,"[135.735711,34.693141]",3.730837e+06
ObjectId(63da3cd93edd49a903f1789a),Kiminami,"2201-1 Oshikumacho, Nara, Nara, 631-0011, Japan","Nara, Japan",¥,Soba,+81742465503,https://guide.michelin.com/en/nara-region/nara/restaurant/kiminami,https://kiminami.crayonsite.net/,4,"Car park,Cash only",18,"[135.764071,34.718044]",1.594563e+06
ObjectId(63da3cd93edd49a903f1789b),Simple comme Bonjour,"68-3 Kawaharajocho, Tenri, Nara, 632-0016, Japan","Nara, Japan",¥¥,French,+81743615657,https://guide.michelin.com/en/nara-region/nara/restaurant/simple-comme-bonjour,,0,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",5,"[135.83342,34.600084]",818421
ObjectId(63da3cd93edd49a903f1789c),PIZZERIA TRATTORIA MAGAZZINO,"172-1 Kamada, Kashiba, Nara, 639-0227, Japan","Nara, Japan",¥,Pizza,+81745798815,https://guide.michelin.com/en/nara-region/nara/restaurant/pizzeria-trattoria-magazzino,https://magazzino.co.jp/,2,"Air conditioning,American Express credit card,Car park,Cash only - lunch,Diners Club credit card,JCB,Mastercard credit card,Visa credit card",4,"[135.712308,34.520592]",4.60613e+06
ObjectId(63da3cd93edd49a903f1789d),Chukasoba Oshitani,"5-4-30 Shijooji, Nara, Nara, 630-8014, Japan","Nara, Japan",¥,Ramen,+81742317068,https://guide.michelin.com/en/nara-region/nara/restaurant/chukasoba-oshitani,,0,"Air conditioning,Car park,Cash only,Counter dining",16,"[135.78866,34.67885]",3.67289e+06
ObjectId(63da3cd93edd49a903f1789e),Ike Edoyakiunagi Asahitei,"29 Haibara Shimoidani, Uda, Nara, 633-0241, Japan","Nara, Japan",¥¥,Unagi / Freshwater Eel,+81745820564,https://guide.michelin.com/en/nara-region/nara/restaurant/ike-edoyakiunagi-asahitei,,0,"Air conditioning,Car park,Cash only",7,"[135.950916,34.52878]",5.717505e+06
